"Crawl Overview Report by the Screaming Frog SEO Spider (9.2)"
"Site Crawled","http://unicode.org/"
"Date","Thursday, May 24, 2018"
"Time","13:55:59 EDT"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Noindex Confirmation Links","0","0.00%","338","Internal pages with 2xx response"
"Incorrect Language Codes","0","0.00%","338","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","338","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","338","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","338","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","338","Internal pages with 2xx response"
"Missing","338","100.00%","338","Internal pages with 2xx response"
""
"AJAX"
"All","0","0.00%","0","Internal pages crawled in escaped fragment form"
"With hash fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
"Without hash fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
""
"Custom"
"Filter 1","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 2","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 3","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 4","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 5","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 6","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 7","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 8","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 9","0","0.00%","287","Internal HTML pages with 2xx response"
"Filter 10","0","0.00%","287","Internal HTML pages with 2xx response"
"Extraction","0","0.00%","287","Internal HTML pages with 2xx response"
""
"Analytics"
"All","427","100.00%","427","Internal URI with associated Google Analytics data"
"Sessions Above 0","0","0.00%","427","Internal URI with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","427","Internal URI with associated Google Analytics data"
"No GA Data","0","0.00%","427","Internal URI with associated Google Analytics data"
""
"Search Console"
"All","427","100.00%","427","Internal URI with associated Google Search Console data"
"Clicks Above 0","0","0.00%","427","Internal URI with associated Google Search Console data"
"No GSC Data","0","0.00%","427","Internal URI with associated Google Search Console data"
""
"Link Metrics"
"All","419","100.00%","419","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.35%","287","Internal HTML pages with 2xx response"
"1","85","29.62%","287","Internal HTML pages with 2xx response"
"2","201","70.03%","287","Internal HTML pages with 2xx response"
"3","0","0.00%","287","Internal HTML pages with 2xx response"
"4","0","0.00%","287","Internal HTML pages with 2xx response"
"5","0","0.00%","287","Internal HTML pages with 2xx response"
"6","0","0.00%","287","Internal HTML pages with 2xx response"
"7","0","0.00%","287","Internal HTML pages with 2xx response"
"8","0","0.00%","287","Internal HTML pages with 2xx response"
"9","0","0.00%","287","Internal HTML pages with 2xx response"
"10+","0","0.00%","287","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URI)"
"http://www.unicode.org/","269","93.73%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://www.unicode.org/copyright.html","142","49.48%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://www.unicode.org/standard/WhatIsUnicode.html","137","47.74%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://www.unicode.org/sitemap/","133","46.34%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://www.unicode.org/announcements/","130","45.30%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/","127","44.25%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2015/09/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2013/12/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2014/05/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2013/11/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2014/06/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2010/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2013/02/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2012/10/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2014/03/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2015/07/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2013/01/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2015/08/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2016/09/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
"http://blog.unicode.org/2014/01/","123","42.86%","287","Internal HTML pages with a 2xx response or 3xx responses"
""
"Response Time (Seconds)","Number of URI","% of Total"
"1","364","98.91"
"2","1","0.27"
